Number	R	G	B	X	Y	Z	L	a	b	
77	96.0784	96.0784	96.0784	75.3108	78.0475	67.492	90.8016	0.116576	-2.91866
78	92.1569	92.1569	92.1569	70.7676	73.5575	63.551	88.7129	-0.332683	-2.80562
79	87.8431	87.8431	87.8431	66.7667	69.3743	59.7577	86.6891	-0.274172	-2.57203
80	83.9216	83.9216	83.9216	61.8022	64.3408	54.5575	84.1429	-0.546481	-1.59284
81	80	80	80	56.4655	59.045	49.602	81.3163	-1.14718	-1.02202
82	76.0784	76.0784	76.0784	51.4111	53.6895	45.3592	78.2803	-0.934873	-1.29922
83	72.1569	72.1569	72.1569	47.0628	49.3408	41.3062	75.6628	-1.4216	-0.77886
84	67.8431	67.8431	67.8431	42.67	44.8335	36.848	72.7821	-1.65562	0.187038
85	63.9216	63.9216	63.9216	36.0434	37.908	31.4478	67.9527	-1.68286	-0.272987
86	60	60	60	32.3424	33.9304	28.0746	64.9073	-1.33168	-0.141441
87	56.0784	56.0784	56.0784	28.4776	29.8651	24.4752	61.5376	-1.23645	0.291185
88	52.1569	52.1569	52.1569	25.3782	26.6089	21.6958	58.6105	-1.16657	0.498125
89	47.8431	47.8431	47.8431	21.6426	22.4971	18.1422	54.5505	-0.230267	0.915329
90	43.9216	43.9216	43.9216	19.3758	20.1579	16.1347	52.0153	-0.304645	1.17217
91	40	40	40	16.3286	16.8374	13.2372	48.0545	0.531427	1.75593
92	36.0784	36.0784	36.0784	14.3694	14.7148	11.4941	45.241	1.12029	1.90196
93	32.1569	32.1569	32.1569	12.6388	12.7638	10.068	42.4051	2.24344	1.4914
94	27.8431	27.8431	27.8431	10.99	11.0132	8.79247	39.6027	2.75897	1.03976
95	23.9216	23.9216	23.9216	9.29175	9.28176	7.54792	36.5212	2.84982	0.430376
96	20	20	20	8.82432	8.82997	7.49184	35.6548	2.67391	-0.839585
97	16.0784	16.0784	16.0784	7.83403	7.80872	6.56269	33.5813	2.84618	-0.532978
98	12.1569	12.1569	12.1569	7.19457	7.15523	5.97218	32.1577	2.92203	-0.325976
99	7.84314	7.84314	7.84314	5.77337	5.79333	4.64917	28.8849	2.14007	0.706957
100	3.92157	3.92157	3.92157	4.73802	4.75776	3.74504	26.0332	1.96102	1.12317
101	0	0	0	3.93365	3.93209	3.04243	23.4457	2.10134	1.43615
