CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro ; Serial number 850763"
DESCRIPTOR	"차트 105 패치a"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
DENSITY_FILTER_STANDARD	"Status T"
DENSITY_WHITE_REFERENCE	"Relative white"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2025-10-20T02:46:06"

NUMBER_OF_FIELDS	51
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	D_VIS	D_RED	D_GREEN	D_BLUE	
END_DATA_FORMAT

NUMBER_OF_SETS	105
BEGIN_DATA
28	-	   30.60	  255.00	  255.00	 0.20161	 0.31543	 0.63996	   62.96	  -43.59	  -47.61	    0.9296	    0.6192	    0.5203	    0.5371	    0.6151	    0.6993	    0.7676	    0.8077	    0.8231	    0.8239	    0.8133	    0.7941	    0.7662	    0.7250	    0.6620	    0.5728	    0.4592	    0.3314	    0.2112	    0.1302	    0.0876	    0.0668	    0.0529	    0.0449	    0.0444	    0.0476	    0.0552	    0.0707	    0.0910	    0.1030	    0.1002	    0.0891	    0.0724	    0.0609	    0.0706	    0.1099	    0.54	    1.22	    0.23	    0.06	
29	-	   20.40	  255.00	  255.00	 0.18125	 0.28757	 0.62715	   60.57	  -43.61	  -50.50	    0.8893	    0.6057	    0.5169	    0.5252	    0.5997	    0.6810	    0.7522	    0.7942	    0.8095	    0.8098	    0.7979	    0.7767	    0.7458	    0.7004	    0.6314	    0.5356	    0.4175	    0.2896	    0.1748	    0.1013	    0.0648	    0.0477	    0.0369	    0.0309	    0.0306	    0.0330	    0.0387	    0.0509	    0.0674	    0.0774	    0.0750	    0.0659	    0.0525	    0.0437	    0.0519	    0.0849	    0.59	    1.38	    0.26	    0.07	
30	-	   10.20	  255.00	  255.00	 0.17012	 0.27105	 0.62150	   59.07	  -43.15	  -52.53	    1.0042	    0.6007	    0.5020	    0.5140	    0.5895	    0.6721	    0.7460	    0.7895	    0.8045	    0.8046	    0.7914	    0.7679	    0.7344	    0.6856	    0.6121	    0.5120	    0.3908	    0.2631	    0.1526	    0.0845	    0.0523	    0.0378	    0.0288	    0.0240	    0.0237	    0.0257	    0.0304	    0.0403	    0.0541	    0.0625	    0.0605	    0.0528	    0.0417	    0.0343	    0.0413	    0.0692	    0.62	    1.48	    0.28	    0.07	
31	-	    0.00	  255.00	  255.00	 0.15846	 0.25278	 0.61291	   57.35	  -42.27	  -54.67	    1.0700	    0.6145	    0.5151	    0.5001	    0.5754	    0.6584	    0.7355	    0.7811	    0.7968	    0.7960	    0.7810	    0.7556	    0.7192	    0.6666	    0.5884	    0.4838	    0.3602	    0.2339	    0.1288	    0.0674	    0.0401	    0.0284	    0.0215	    0.0179	    0.0176	    0.0191	    0.0227	    0.0305	    0.0412	    0.0479	    0.0464	    0.0401	    0.0313	    0.0259	    0.0317	    0.0544	    0.66	    1.61	    0.30	    0.08	
32	-	  255.00	  244.80	  255.00	 0.81088	 0.83176	 0.72198	   93.09	    1.73	   -3.20	    0.6036	    0.6282	    0.6575	    0.7003	    0.8003	    0.8655	    0.8848	    0.8888	    0.8929	    0.8897	    0.8808	    0.8710	    0.8600	    0.8453	    0.8315	    0.8248	    0.8229	    0.8155	    0.8092	    0.8187	    0.8270	    0.8327	    0.8360	    0.8393	    0.8433	    0.8485	    0.8567	    0.8658	    0.8758	    0.8841	    0.8916	    0.8978	    0.9038	    0.9085	    0.9119	    0.9159	    0.01	    0.00	    0.02	    0.01	
33	-	  255.00	  234.60	  255.00	 0.80184	 0.81185	 0.71448	   92.21	    3.75	   -4.05	    0.6346	    0.6460	    0.6566	    0.6914	    0.7947	    0.8615	    0.8803	    0.8826	    0.8849	    0.8793	    0.8667	    0.8535	    0.8396	    0.8192	    0.7985	    0.7908	    0.7912	    0.7825	    0.7776	    0.7965	    0.8158	    0.8282	    0.8342	    0.8384	    0.8430	    0.8484	    0.8567	    0.8657	    0.8755	    0.8839	    0.8913	    0.8972	    0.9030	    0.9074	    0.9107	    0.9149	    0.02	    0.00	    0.04	    0.01	
34	-	  255.00	  224.40	  255.00	 0.78689	 0.78452	 0.70182	   90.99	    6.10	   -5.03	    0.5229	    0.6386	    0.6437	    0.6846	    0.7863	    0.8526	    0.8698	    0.8704	    0.8706	    0.8619	    0.8454	    0.8284	    0.8110	    0.7846	    0.7567	    0.7479	    0.7510	    0.7409	    0.7375	    0.7663	    0.7975	    0.8175	    0.8272	    0.8328	    0.8377	    0.8435	    0.8520	    0.8610	    0.8710	    0.8794	    0.8869	    0.8928	    0.8988	    0.9033	    0.9066	    0.9105	    0.04	    0.01	    0.06	    0.02	
35	-	  255.00	  214.20	  255.00	 0.77486	 0.76062	 0.69189	   89.89	    8.44	   -6.02	    0.7488	    0.6811	    0.6541	    0.6885	    0.7852	    0.8470	    0.8624	    0.8609	    0.8588	    0.8470	    0.8265	    0.8062	    0.7857	    0.7536	    0.7194	    0.7097	    0.7147	    0.7035	    0.7012	    0.7392	    0.7818	    0.8095	    0.8227	    0.8298	    0.8354	    0.8415	    0.8501	    0.8593	    0.8692	    0.8777	    0.8853	    0.8913	    0.8973	    0.9019	    0.9051	    0.9092	    0.05	    0.01	    0.08	    0.03	
36	-	  255.00	  204.00	  255.00	 0.76235	 0.73696	 0.68075	   88.78	   10.71	   -6.92	    0.6325	    0.6015	    0.6413	    0.6825	    0.7783	    0.8398	    0.8536	    0.8504	    0.8461	    0.8315	    0.8072	    0.7839	    0.7606	    0.7233	    0.6831	    0.6726	    0.6796	    0.6671	    0.6659	    0.7122	    0.7655	    0.8007	    0.8177	    0.8262	    0.8323	    0.8386	    0.8475	    0.8568	    0.8669	    0.8756	    0.8833	    0.8894	    0.8955	    0.9002	    0.9035	    0.9075	    0.06	    0.01	    0.10	    0.04	
37	-	  255.00	  193.80	  255.00	 0.74809	 0.71209	 0.66856	   87.59	   12.95	   -7.85	    0.4555	    0.5656	    0.6283	    0.6749	    0.7723	    0.8314	    0.8429	    0.8381	    0.8320	    0.8147	    0.7868	    0.7604	    0.7345	    0.6929	    0.6473	    0.6354	    0.6440	    0.6304	    0.6298	    0.6833	    0.7467	    0.7892	    0.8101	    0.8204	    0.8273	    0.8340	    0.8430	    0.8526	    0.8628	    0.8714	    0.8792	    0.8856	    0.8917	    0.8965	    0.9000	    0.9042	    0.07	    0.01	    0.12	    0.04	
38	-	  255.00	  183.60	  255.00	 0.73319	 0.68602	 0.65598	   86.31	   15.39	   -8.88	    0.6331	    0.5881	    0.6357	    0.6724	    0.7666	    0.8225	    0.8322	    0.8251	    0.8167	    0.7969	    0.7652	    0.7356	    0.7073	    0.6610	    0.6100	    0.5970	    0.6070	    0.5920	    0.5919	    0.6525	    0.7264	    0.7769	    0.8022	    0.8145	    0.8222	    0.8295	    0.8388	    0.8485	    0.8589	    0.8678	    0.8757	    0.8823	    0.8885	    0.8934	    0.8970	    0.9012	    0.09	    0.02	    0.15	    0.05	
39	-	  255.00	  173.40	  255.00	 0.71668	 0.65881	 0.64116	   84.94	   17.85	   -9.84	    0.5957	    0.5856	    0.6321	    0.6644	    0.7538	    0.8099	    0.8187	    0.8097	    0.7996	    0.7771	    0.7415	    0.7090	    0.6779	    0.6271	    0.5713	    0.5575	    0.5691	    0.5534	    0.5540	    0.6216	    0.7053	    0.7632	    0.7925	    0.8065	    0.8151	    0.8225	    0.8319	    0.8417	    0.8521	    0.8609	    0.8689	    0.8754	    0.8815	    0.8866	    0.8901	    0.8939	    0.10	    0.02	    0.17	    0.06	
40	-	  255.00	  163.20	  255.00	 0.70100	 0.63331	 0.62773	   83.62	   20.21	  -10.82	    0.5906	    0.5779	    0.6146	    0.6553	    0.7457	    0.7988	    0.8067	    0.7957	    0.7834	    0.7588	    0.7200	    0.6847	    0.6514	    0.5967	    0.5362	    0.5214	    0.5340	    0.5173	    0.5182	    0.5914	    0.6841	    0.7492	    0.7829	    0.7989	    0.8084	    0.8164	    0.8259	    0.8357	    0.8463	    0.8553	    0.8634	    0.8700	    0.8763	    0.8812	    0.8849	    0.8889	    0.12	    0.03	    0.20	    0.07	
41	-	  255.00	  153.00	  255.00	 0.68014	 0.60058	 0.61119	   81.87	   23.23	  -12.21	    0.5741	    0.5767	    0.6049	    0.6433	    0.7330	    0.7857	    0.7916	    0.7789	    0.7642	    0.7361	    0.6932	    0.6545	    0.6182	    0.5584	    0.4924	    0.4763	    0.4901	    0.4719	    0.4727	    0.5528	    0.6564	    0.7301	    0.7686	    0.7872	    0.7979	    0.8064	    0.8164	    0.8264	    0.8369	    0.8460	    0.8541	    0.8608	    0.8671	    0.8718	    0.8752	    0.8796	    0.14	    0.03	    0.23	    0.09	
42	-	  255.00	  142.80	  255.00	 0.66182	 0.57254	 0.59621	   80.32	   25.87	  -13.39	    0.5150	    0.5520	    0.5936	    0.6331	    0.7226	    0.7740	    0.7777	    0.7631	    0.7466	    0.7156	    0.6691	    0.6277	    0.5893	    0.5257	    0.4555	    0.4382	    0.4530	    0.4338	    0.4346	    0.5197	    0.6320	    0.7128	    0.7557	    0.7767	    0.7884	    0.7973	    0.8074	    0.8175	    0.8282	    0.8374	    0.8454	    0.8521	    0.8585	    0.8634	    0.8668	    0.8710	    0.15	    0.04	    0.26	    0.10	
43	-	  255.00	  132.60	  255.00	 0.64361	 0.54461	 0.58125	   78.73	   28.65	  -14.62	    0.5519	    0.5305	    0.5958	    0.6299	    0.7138	    0.7622	    0.7637	    0.7471	    0.7282	    0.6946	    0.6450	    0.6009	    0.5599	    0.4928	    0.4186	    0.4003	    0.4159	    0.3960	    0.3968	    0.4869	    0.6079	    0.6958	    0.7430	    0.7661	    0.7789	    0.7882	    0.7985	    0.8085	    0.8191	    0.8282	    0.8363	    0.8430	    0.8493	    0.8542	    0.8575	    0.8614	    0.17	    0.05	    0.30	    0.11	
44	-	  255.00	  122.40	  255.00	 0.62989	 0.52169	 0.56940	   77.38	   31.34	  -15.73	    0.4866	    0.5250	    0.5821	    0.6255	    0.7077	    0.7529	    0.7535	    0.7349	    0.7142	    0.6782	    0.6253	    0.5784	    0.5354	    0.4647	    0.3868	    0.3676	    0.3840	    0.3634	    0.3643	    0.4596	    0.5893	    0.6841	    0.7350	    0.7599	    0.7736	    0.7833	    0.7936	    0.8037	    0.8142	    0.8233	    0.8313	    0.8379	    0.8441	    0.8488	    0.8521	    0.8558	    0.19	    0.05	    0.33	    0.12	
45	-	  255.00	  112.20	  255.00	 0.61965	 0.50260	 0.55866	   76.23	   33.94	  -16.60	    0.4336	    0.4985	    0.5732	    0.6176	    0.6999	    0.7449	    0.7438	    0.7242	    0.7019	    0.6634	    0.6073	    0.5582	    0.5133	    0.4396	    0.3584	    0.3386	    0.3559	    0.3346	    0.3361	    0.4368	    0.5753	    0.6770	    0.7313	    0.7578	    0.7720	    0.7818	    0.7919	    0.8018	    0.8121	    0.8208	    0.8286	    0.8349	    0.8406	    0.8452	    0.8485	    0.8517	    0.20	    0.05	    0.36	    0.13	
46	-	  255.00	  102.00	  255.00	 0.61178	 0.48283	 0.54667	   75.00	   37.39	  -17.45	    0.4955	    0.5410	    0.5860	    0.6134	    0.6932	    0.7369	    0.7338	    0.7117	    0.6873	    0.6464	    0.5865	    0.5340	    0.4869	    0.4098	    0.3255	    0.3054	    0.3236	    0.3019	    0.3045	    0.4124	    0.5634	    0.6744	    0.7333	    0.7616	    0.7766	    0.7865	    0.7965	    0.8062	    0.8161	    0.8244	    0.8318	    0.8378	    0.8433	    0.8475	    0.8501	    0.8529	    0.22	    0.05	    0.40	    0.14	
47	-	  255.00	   91.80	  255.00	 0.60258	 0.46320	 0.52748	   73.75	   40.62	  -17.54	    0.4501	    0.4577	    0.5564	    0.5919	    0.6709	    0.7159	    0.7137	    0.6904	    0.6650	    0.6221	    0.5596	    0.5057	    0.4576	    0.3788	    0.2935	    0.2738	    0.2928	    0.2714	    0.2750	    0.3882	    0.5507	    0.6716	    0.7351	    0.7651	    0.7806	    0.7905	    0.8001	    0.8092	    0.8188	    0.8268	    0.8337	    0.8390	    0.8440	    0.8477	    0.8500	    0.8524	    0.23	    0.05	    0.44	    0.15	
48	-	  255.00	   81.60	  255.00	 0.59853	 0.44425	 0.50854	   72.51	   45.00	  -17.59	    0.4514	    0.4843	    0.5343	    0.5821	    0.6604	    0.6995	    0.6948	    0.6696	    0.6414	    0.5957	    0.5294	    0.4733	    0.4242	    0.3441	    0.2582	    0.2388	    0.2583	    0.2375	    0.2422	    0.3612	    0.5388	    0.6748	    0.7464	    0.7798	    0.7966	    0.8071	    0.8170	    0.8263	    0.8359	    0.8437	    0.8505	    0.8558	    0.8605	    0.8641	    0.8661	    0.8686	    0.24	    0.04	    0.48	    0.17	
49	-	  255.00	   71.40	  255.00	 0.59019	 0.42322	 0.48785	   71.09	   49.13	  -17.70	    0.4713	    0.4664	    0.5285	    0.5680	    0.6435	    0.6822	    0.6747	    0.6465	    0.6154	    0.5664	    0.4970	    0.4393	    0.3897	    0.3096	    0.2252	    0.2064	    0.2255	    0.2057	    0.2106	    0.3308	    0.5187	    0.6694	    0.7502	    0.7880	    0.8068	    0.8185	    0.8295	    0.8395	    0.8495	    0.8577	    0.8648	    0.8703	    0.8753	    0.8787	    0.8808	    0.8834	    0.26	    0.04	    0.54	    0.19	
50	-	  255.00	   61.20	  255.00	 0.57551	 0.39935	 0.46634	   69.42	   52.78	  -18.07	    0.4982	    0.5452	    0.5317	    0.5596	    0.6291	    0.6643	    0.6529	    0.6215	    0.5873	    0.5354	    0.4636	    0.4046	    0.3550	    0.2764	    0.1947	    0.1767	    0.1948	    0.1762	    0.1811	    0.2985	    0.4904	    0.6524	    0.7423	    0.7848	    0.8063	    0.8197	    0.8320	    0.8431	    0.8543	    0.8634	    0.8713	    0.8775	    0.8833	    0.8877	    0.8903	    0.8935	    0.28	    0.04	    0.59	    0.21	
51	-	  255.00	   51.00	  255.00	 0.55570	 0.37148	 0.44459	   67.39	   56.66	  -18.97	    0.6949	    0.5177	    0.5361	    0.5546	    0.6177	    0.6476	    0.6322	    0.5967	    0.5587	    0.5031	    0.4280	    0.3675	    0.3175	    0.2407	    0.1629	    0.1459	    0.1625	    0.1453	    0.1501	    0.2620	    0.4544	    0.6262	    0.7259	    0.7740	    0.7988	    0.8143	    0.8282	    0.8406	    0.8529	    0.8632	    0.8723	    0.8795	    0.8865	    0.8919	    0.8955	    0.8997	    0.30	    0.05	    0.66	    0.23	
52	-	  255.00	   40.80	  255.00	 0.53366	 0.34459	 0.42451	   65.33	   59.98	  -20.04	    0.5391	    0.4785	    0.5045	    0.5446	    0.6035	    0.6319	    0.6135	    0.5744	    0.5330	    0.4737	    0.3955	    0.3336	    0.2835	    0.2087	    0.1351	    0.1195	    0.1343	    0.1186	    0.1234	    0.2293	    0.4191	    0.5966	    0.7042	    0.7569	    0.7841	    0.8009	    0.8157	    0.8289	    0.8418	    0.8530	    0.8629	    0.8713	    0.8794	    0.8860	    0.8909	    0.8963	    0.33	    0.06	    0.73	    0.26	
53	-	  255.00	   30.60	  255.00	 0.51587	 0.32262	 0.40255	   63.56	   62.98	  -20.27	    0.3521	    0.4318	    0.4943	    0.5237	    0.5847	    0.6114	    0.5906	    0.5490	    0.5049	    0.4431	    0.3630	    0.3007	    0.2515	    0.1797	    0.1112	    0.0972	    0.1105	    0.0964	    0.1016	    0.2027	    0.3919	    0.5758	    0.6901	    0.7462	    0.7743	    0.7911	    0.8053	    0.8178	    0.8303	    0.8408	    0.8504	    0.8584	    0.8661	    0.8727	    0.8777	    0.8834	    0.35	    0.07	    0.81	    0.28	
54	-	  255.00	   20.40	  255.00	 0.49845	 0.29846	 0.37115	   61.52	   67.14	  -19.58	    0.5431	    0.4621	    0.4795	    0.5033	    0.5599	    0.5801	    0.5555	    0.5106	    0.4635	    0.3996	    0.3186	    0.2568	    0.2097	    0.1439	    0.0841	    0.0725	    0.0835	    0.0718	    0.0767	    0.1685	    0.3569	    0.5537	    0.6801	    0.7428	    0.7740	    0.7921	    0.8066	    0.8190	    0.8310	    0.8410	    0.8498	    0.8572	    0.8641	    0.8698	    0.8738	    0.8786	    0.38	    0.07	    0.91	    0.32	
55	-	  255.00	   10.20	  255.00	 0.47212	 0.27042	 0.33601	   59.01	   70.76	  -18.91	    0.6911	    0.4794	    0.4617	    0.4736	    0.5233	    0.5418	    0.5152	    0.4672	    0.4178	    0.3524	    0.2714	    0.2114	    0.1676	    0.1094	    0.0597	    0.0504	    0.0589	    0.0500	    0.0541	    0.1328	    0.3127	    0.5172	    0.6547	    0.7243	    0.7589	    0.7787	    0.7938	    0.8064	    0.8182	    0.8281	    0.8366	    0.8435	    0.8500	    0.8551	    0.8588	    0.8625	    0.41	    0.08	    1.03	    0.36	
56	-	  255.00	    0.00	  255.00	 0.44984	 0.24986	 0.30935	   57.06	   72.87	  -18.24	    0.5441	    0.4143	    0.4325	    0.4500	    0.5001	    0.5131	    0.4837	    0.4334	    0.3823	    0.3162	    0.2363	    0.1792	    0.1387	    0.0877	    0.0464	    0.0389	    0.0453	    0.0385	    0.0415	    0.1073	    0.2742	    0.4813	    0.6281	    0.7047	    0.7433	    0.7652	    0.7817	    0.7951	    0.8077	    0.8180	    0.8271	    0.8342	    0.8409	    0.8463	    0.8501	    0.8539	    0.44	    0.10	    1.13	    0.40	
57	-	  255.00	  255.00	  244.80	 0.81471	 0.85342	 0.69394	   94.03	   -1.58	    0.93	    0.6806	    0.6030	    0.6205	    0.6532	    0.7539	    0.8196	    0.8403	    0.8463	    0.8531	    0.8548	    0.8570	    0.8643	    0.8719	    0.8734	    0.8715	    0.8671	    0.8625	    0.8569	    0.8485	    0.8456	    0.8398	    0.8374	    0.8370	    0.8389	    0.8424	    0.8472	    0.8551	    0.8637	    0.8731	    0.8810	    0.8881	    0.8940	    0.8999	    0.9041	    0.9070	    0.9107	    0.00	    0.00	    0.00	    0.02	
58	-	  255.00	  255.00	  234.60	 0.81040	 0.85276	 0.65784	   94.00	   -2.29	    4.21	    0.5691	    0.6038	    0.5883	    0.6189	    0.7095	    0.7713	    0.7907	    0.7970	    0.8042	    0.8075	    0.8160	    0.8370	    0.8598	    0.8700	    0.8715	    0.8683	    0.8642	    0.8589	    0.8509	    0.8481	    0.8423	    0.8396	    0.8394	    0.8414	    0.8448	    0.8497	    0.8577	    0.8664	    0.8760	    0.8840	    0.8911	    0.8968	    0.9024	    0.9068	    0.9099	    0.9137	    0.00	    0.00	    0.00	    0.05	
59	-	  255.00	  255.00	  224.40	 0.80025	 0.84765	 0.60343	   93.78	   -3.32	    9.09	    0.5533	    0.5352	    0.5285	    0.5630	    0.6438	    0.6988	    0.7167	    0.7235	    0.7312	    0.7366	    0.7536	    0.7935	    0.8377	    0.8612	    0.8679	    0.8663	    0.8627	    0.8577	    0.8498	    0.8471	    0.8414	    0.8389	    0.8386	    0.8407	    0.8443	    0.8491	    0.8571	    0.8657	    0.8752	    0.8832	    0.8904	    0.8960	    0.9016	    0.9060	    0.9089	    0.9125	    0.00	    0.00	    0.01	    0.08	
60	-	  255.00	  255.00	  214.20	 0.79433	 0.84544	 0.56569	   93.69	   -4.07	   12.77	    0.5018	    0.4917	    0.4975	    0.5279	    0.5985	    0.6489	    0.6656	    0.6723	    0.6799	    0.6868	    0.7102	    0.7632	    0.8230	    0.8564	    0.8669	    0.8664	    0.8632	    0.8584	    0.8506	    0.8479	    0.8422	    0.8397	    0.8395	    0.8415	    0.8450	    0.8498	    0.8578	    0.8665	    0.8759	    0.8839	    0.8910	    0.8968	    0.9023	    0.9065	    0.9096	    0.9134	    0.00	    0.00	    0.01	    0.11	
61	-	  255.00	  255.00	  204.00	 0.78946	 0.84354	 0.53424	   93.60	   -4.67	   15.96	    0.3502	    0.4398	    0.4666	    0.4942	    0.5605	    0.6070	    0.6228	    0.6301	    0.6378	    0.6459	    0.6739	    0.7374	    0.8104	    0.8521	    0.8658	    0.8661	    0.8634	    0.8589	    0.8513	    0.8487	    0.8430	    0.8405	    0.8403	    0.8422	    0.8457	    0.8507	    0.8586	    0.8672	    0.8769	    0.8849	    0.8921	    0.8977	    0.9032	    0.9075	    0.9106	    0.9144	    0.01	    0.00	    0.01	    0.13	
62	-	  255.00	  255.00	  193.80	 0.78239	 0.84064	 0.48949	   93.48	   -5.53	   20.71	    0.4852	    0.4076	    0.4292	    0.4495	    0.5086	    0.5483	    0.5624	    0.5696	    0.5774	    0.5870	    0.6212	    0.6995	    0.7912	    0.8455	    0.8645	    0.8663	    0.8639	    0.8594	    0.8519	    0.8494	    0.8438	    0.8412	    0.8411	    0.8431	    0.8467	    0.8516	    0.8596	    0.8684	    0.8779	    0.8859	    0.8931	    0.8989	    0.9044	    0.9087	    0.9119	    0.9154	    0.01	    0.00	    0.01	    0.17	
63	-	  255.00	  255.00	  183.60	 0.77143	 0.83195	 0.45450	   93.10	   -6.09	   24.16	    0.4115	    0.3981	    0.4032	    0.4103	    0.4636	    0.5023	    0.5163	    0.5236	    0.5318	    0.5424	    0.5798	    0.6668	    0.7705	    0.8334	    0.8562	    0.8593	    0.8575	    0.8532	    0.8456	    0.8431	    0.8376	    0.8352	    0.8353	    0.8374	    0.8410	    0.8459	    0.8539	    0.8626	    0.8720	    0.8800	    0.8872	    0.8930	    0.8983	    0.9027	    0.9058	    0.9089	    0.01	    0.00	    0.01	    0.20	
64	-	  255.00	  255.00	  173.40	 0.76520	 0.82899	 0.41394	   92.97	   -6.78	   28.97	    0.5577	    0.3877	    0.3629	    0.3716	    0.4191	    0.4496	    0.4621	    0.4696	    0.4774	    0.4890	    0.5304	    0.6288	    0.7498	    0.8256	    0.8539	    0.8588	    0.8575	    0.8536	    0.8462	    0.8439	    0.8386	    0.8362	    0.8363	    0.8385	    0.8420	    0.8470	    0.8550	    0.8638	    0.8733	    0.8812	    0.8884	    0.8942	    0.8997	    0.9041	    0.9072	    0.9104	    0.01	    0.00	    0.01	    0.24	
65	-	  255.00	  255.00	  163.20	 0.76208	 0.82955	 0.37815	   92.99	   -7.52	   33.73	    0.4836	    0.3968	    0.3354	    0.3360	    0.3751	    0.4031	    0.4145	    0.4217	    0.4293	    0.4415	    0.4871	    0.5968	    0.7340	    0.8222	    0.8560	    0.8624	    0.8614	    0.8575	    0.8502	    0.8479	    0.8424	    0.8400	    0.8399	    0.8419	    0.8456	    0.8506	    0.8586	    0.8673	    0.8766	    0.8847	    0.8917	    0.8973	    0.9027	    0.9068	    0.9097	    0.9135	    0.01	    0.00	    0.01	    0.27	
66	-	  255.00	  255.00	  153.00	 0.75436	 0.82446	 0.34429	   92.77	   -8.12	   38.09	    0.3802	    0.4099	    0.3121	    0.3030	    0.3363	    0.3599	    0.3697	    0.3767	    0.3844	    0.3971	    0.4458	    0.5643	    0.7150	    0.8134	    0.8519	    0.8596	    0.8592	    0.8552	    0.8479	    0.8456	    0.8401	    0.8377	    0.8376	    0.8397	    0.8432	    0.8482	    0.8562	    0.8649	    0.8743	    0.8823	    0.8894	    0.8950	    0.9004	    0.9048	    0.9077	    0.9114	    0.01	    0.00	    0.02	    0.31	
67	-	  255.00	  255.00	  142.80	 0.74744	 0.81958	 0.31306	   92.56	   -8.61	   42.38	    0.4731	    0.2804	    0.2741	    0.2716	    0.3011	    0.3207	    0.3293	    0.3362	    0.3435	    0.3562	    0.4064	    0.5315	    0.6943	    0.8037	    0.8476	    0.8570	    0.8568	    0.8531	    0.8459	    0.8435	    0.8381	    0.8358	    0.8357	    0.8378	    0.8415	    0.8465	    0.8546	    0.8633	    0.8727	    0.8809	    0.8880	    0.8937	    0.8993	    0.9035	    0.9063	    0.9102	    0.01	    0.00	    0.02	    0.35	
68	-	  255.00	  255.00	  132.60	 0.74098	 0.81546	 0.27674	   92.37	   -9.15	   47.90	    0.3380	    0.2775	    0.2414	    0.2381	    0.2588	    0.2752	    0.2828	    0.2890	    0.2958	    0.3087	    0.3601	    0.4918	    0.6693	    0.7926	    0.8437	    0.8554	    0.8560	    0.8526	    0.8455	    0.8432	    0.8377	    0.8355	    0.8355	    0.8375	    0.8411	    0.8461	    0.8543	    0.8630	    0.8725	    0.8805	    0.8877	    0.8937	    0.8992	    0.9035	    0.9064	    0.9102	    0.01	    0.00	    0.02	    0.40	
69	-	  255.00	  255.00	  122.40	 0.73562	 0.81186	 0.24802	   92.21	   -9.57	   52.61	    0.2217	    0.2191	    0.2174	    0.2072	    0.2257	    0.2399	    0.2462	    0.2521	    0.2586	    0.2712	    0.3231	    0.4592	    0.6481	    0.7831	    0.8403	    0.8540	    0.8552	    0.8519	    0.8450	    0.8427	    0.8373	    0.8350	    0.8349	    0.8369	    0.8405	    0.8456	    0.8536	    0.8623	    0.8718	    0.8798	    0.8870	    0.8927	    0.8981	    0.9025	    0.9057	    0.9095	    0.02	    0.00	    0.02	    0.44	
70	-	  255.00	  255.00	  112.20	 0.73175	 0.80910	 0.22811	   92.09	   -9.84	   56.08	    0.2926	    0.2479	    0.2038	    0.1847	    0.2024	    0.2156	    0.2213	    0.2266	    0.2326	    0.2452	    0.2970	    0.4355	    0.6321	    0.7757	    0.8376	    0.8530	    0.8545	    0.8513	    0.8444	    0.8421	    0.8367	    0.8343	    0.8342	    0.8362	    0.8399	    0.8449	    0.8530	    0.8619	    0.8714	    0.8794	    0.8866	    0.8925	    0.8979	    0.9025	    0.9057	    0.9093	    0.02	    0.00	    0.03	    0.48	
71	-	  255.00	  255.00	  102.00	 0.71938	 0.79746	 0.19771	   91.57	  -10.18	   61.25	    0.2846	    0.2222	    0.1719	    0.1605	    0.1703	    0.1792	    0.1834	    0.1883	    0.1942	    0.2060	    0.2563	    0.3965	    0.6023	    0.7571	    0.8259	    0.8434	    0.8456	    0.8426	    0.8356	    0.8331	    0.8278	    0.8256	    0.8258	    0.8278	    0.8313	    0.8361	    0.8439	    0.8524	    0.8617	    0.8694	    0.8764	    0.8822	    0.8877	    0.8922	    0.8951	    0.8985	    0.02	    0.01	    0.03	    0.54	
72	-	  255.00	  255.00	   91.80	 0.71656	 0.79594	 0.16910	   91.50	  -10.48	   67.44	    0.2278	    0.1481	    0.1401	    0.1296	    0.1381	    0.1443	    0.1481	    0.1526	    0.1579	    0.1690	    0.2175	    0.3587	    0.5757	    0.7458	    0.8236	    0.8443	    0.8475	    0.8449	    0.8381	    0.8359	    0.8304	    0.8280	    0.8280	    0.8300	    0.8335	    0.8385	    0.8464	    0.8550	    0.8646	    0.8727	    0.8800	    0.8857	    0.8913	    0.8958	    0.8990	    0.9026	    0.02	    0.01	    0.03	    0.60	
