CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro ; Serial number 850763"
DESCRIPTOR	"차트 105 패치a"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
DENSITY_FILTER_STANDARD	"Status T"
DENSITY_WHITE_REFERENCE	"Relative white"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2025-10-20T02:46:06"

NUMBER_OF_FIELDS	51
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	D_VIS	D_RED	D_GREEN	D_BLUE	
END_DATA_FORMAT

NUMBER_OF_SETS	105
BEGIN_DATA
8	-	  234.60	  255.00	  255.00	 0.74654	 0.79968	 0.72934	   91.67	   -4.97	   -6.29	    0.7252	    0.6284	    0.6540	    0.6912	    0.7954	    0.8637	    0.8878	    0.8957	    0.9029	    0.9028	    0.8982	    0.8918	    0.8836	    0.8744	    0.8651	    0.8529	    0.8373	    0.8161	    0.7884	    0.7676	    0.7506	    0.7410	    0.7340	    0.7306	    0.7319	    0.7361	    0.7457	    0.7604	    0.7771	    0.7882	    0.7929	    0.7930	    0.7901	    0.7883	    0.7958	    0.8146	    0.04	    0.06	    0.01	    0.00	
9	-	  224.40	  255.00	  255.00	 0.71496	 0.77495	 0.72814	   90.55	   -6.71	   -8.12	    0.6599	    0.6244	    0.6384	    0.6858	    0.7900	    0.8613	    0.8869	    0.8952	    0.9021	    0.9023	    0.8976	    0.8906	    0.8817	    0.8711	    0.8599	    0.8448	    0.8246	    0.7970	    0.7613	    0.7338	    0.7126	    0.7005	    0.6910	    0.6856	    0.6863	    0.6905	    0.7007	    0.7175	    0.7365	    0.7486	    0.7521	    0.7502	    0.7441	    0.7396	    0.7483	    0.7732	    0.05	    0.09	    0.02	    0.00	
10	-	  214.20	  255.00	  255.00	 0.67029	 0.73920	 0.72457	   88.88	   -9.16	  -10.68	    0.5614	    0.6446	    0.6335	    0.6785	    0.7825	    0.8548	    0.8822	    0.8920	    0.8991	    0.8992	    0.8943	    0.8868	    0.8770	    0.8648	    0.8507	    0.8310	    0.8045	    0.7680	    0.7222	    0.6856	    0.6591	    0.6437	    0.6313	    0.6236	    0.6233	    0.6272	    0.6381	    0.6575	    0.6796	    0.6929	    0.6953	    0.6906	    0.6805	    0.6733	    0.6834	    0.7144	    0.08	    0.13	    0.03	    0.01	
11	-	  204.00	  255.00	  255.00	 0.63211	 0.70836	 0.72124	   87.41	  -11.36	  -12.94	    0.5712	    0.5807	    0.6264	    0.6714	    0.7759	    0.8484	    0.8780	    0.8890	    0.8964	    0.8963	    0.8911	    0.8832	    0.8724	    0.8589	    0.8424	    0.8188	    0.7865	    0.7424	    0.6879	    0.6440	    0.6132	    0.5954	    0.5805	    0.5709	    0.5701	    0.5738	    0.5851	    0.6063	    0.6307	    0.6450	    0.6465	    0.6396	    0.6263	    0.6166	    0.6277	    0.6637	    0.10	    0.17	    0.04	    0.01	
12	-	  193.80	  255.00	  255.00	 0.60146	 0.68323	 0.71834	   86.17	  -13.16	  -14.81	    0.5989	    0.6014	    0.6203	    0.6685	    0.7704	    0.8435	    0.8742	    0.8862	    0.8936	    0.8936	    0.8883	    0.8800	    0.8684	    0.8535	    0.8348	    0.8081	    0.7711	    0.7209	    0.6597	    0.6104	    0.5764	    0.5566	    0.5401	    0.5292	    0.5277	    0.5314	    0.5429	    0.5655	    0.5915	    0.6066	    0.6072	    0.5988	    0.5833	    0.5718	    0.5836	    0.6229	    0.12	    0.20	    0.05	    0.01	
13	-	  183.60	  255.00	  255.00	 0.57444	 0.66087	 0.71520	   85.04	  -14.80	  -16.48	    0.5286	    0.5790	    0.6206	    0.6651	    0.7647	    0.8377	    0.8699	    0.8830	    0.8909	    0.8907	    0.8853	    0.8765	    0.8645	    0.8487	    0.8280	    0.7980	    0.7568	    0.7012	    0.6345	    0.5806	    0.5440	    0.5227	    0.5048	    0.4928	    0.4910	    0.4944	    0.5062	    0.5297	    0.5569	    0.5724	    0.5726	    0.5631	    0.5458	    0.5327	    0.5450	    0.5867	    0.14	    0.23	    0.06	    0.01	
14	-	  173.40	  255.00	  255.00	 0.54049	 0.63255	 0.71144	   83.58	  -16.95	  -18.67	    0.6731	    0.5791	    0.6210	    0.6538	    0.7575	    0.8306	    0.8652	    0.8795	    0.8873	    0.8875	    0.8817	    0.8723	    0.8594	    0.8421	    0.8188	    0.7849	    0.7381	    0.6759	    0.6025	    0.5430	    0.5032	    0.4800	    0.4605	    0.4474	    0.4450	    0.4484	    0.4604	    0.4847	    0.5130	    0.5292	    0.5287	    0.5179	    0.4984	    0.4836	    0.4955	    0.5395	    0.16	    0.27	    0.06	    0.01	
15	-	  163.20	  255.00	  255.00	 0.51014	 0.60653	 0.70672	   82.19	  -18.84	  -20.63	    0.7281	    0.6077	    0.6157	    0.6526	    0.7494	    0.8222	    0.8586	    0.8744	    0.8831	    0.8830	    0.8767	    0.8668	    0.8529	    0.8341	    0.8086	    0.7711	    0.7199	    0.6521	    0.5729	    0.5091	    0.4669	    0.4422	    0.4216	    0.4076	    0.4049	    0.4083	    0.4202	    0.4451	    0.4744	    0.4909	    0.4899	    0.4780	    0.4570	    0.4410	    0.4532	    0.4991	    0.18	    0.31	    0.07	    0.02	
16	-	  153.00	  255.00	  255.00	 0.48244	 0.58264	 0.70132	   80.89	  -20.67	  -22.40	    0.5970	    0.5408	    0.5899	    0.6402	    0.7391	    0.8133	    0.8515	    0.8690	    0.8779	    0.8780	    0.8716	    0.8613	    0.8467	    0.8267	    0.7986	    0.7580	    0.7025	    0.6297	    0.5457	    0.4782	    0.4340	    0.4082	    0.3867	    0.3719	    0.3690	    0.3722	    0.3842	    0.4093	    0.4390	    0.4559	    0.4544	    0.4416	    0.4196	    0.4025	    0.4145	    0.4611	    0.20	    0.35	    0.08	    0.02	
17	-	  142.80	  255.00	  255.00	 0.45389	 0.55783	 0.69720	   79.49	  -22.64	  -24.43	    0.7019	    0.5977	    0.5937	    0.6296	    0.7288	    0.8052	    0.8461	    0.8652	    0.8745	    0.8745	    0.8678	    0.8566	    0.8410	    0.8192	    0.7886	    0.7443	    0.6842	    0.6061	    0.5170	    0.4459	    0.3998	    0.3728	    0.3502	    0.3349	    0.3319	    0.3351	    0.3471	    0.3723	    0.4024	    0.4192	    0.4172	    0.4039	    0.3810	    0.3627	    0.3739	    0.4214	    0.23	    0.39	    0.09	    0.02	
