CGATS.17

ORIGINATOR	i1Profiler - X-Rite, Inc.
INSTRUMENTATION	i1Pro ; Serial number 850763
DESCRIPTOR	차트 917 패치v
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	DEVCALSTD
DEVCALSTD	XRGA
CREATED2025-11-24 22:18:11

NUMBER_OF_FIELDS	49
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	LAB_C	LAB_H
END_DATA_FORMAT

NUMBER_OF_SETS	917
BEGIN_DATA
59	B14	224	127	224	0.48293	0.44942	0.40799	72.85	14.08	-4.95	14.93	340.64
60	B15	224	224	0	0.37838	0.40441	0.08044	69.78	-3.69	55.86	55.98	93.78
61	B16	224	160	255	0.57102	0.54739	0.61392	78.89	10.87	-17.62	20.7	301.68
62	B1	224	255	30	0.50685	0.61508	0.14122	82.65	-21.69	59.05	62.91	110.17
63	B2	255	0	63	0.39093	0.23901	0.12536	55.99	59.77	17.4	62.25	16.23
64	B3	255	127	191	0.61873	0.54784	0.33625	78.92	22.14	15.38	26.96	34.78
65	B4	255	255	0	0.65617	0.68557	0.09516	86.28	-1.08	79	79.01	90.79
66	B5	255	30	94	0.43669	0.28925	0.15488	60.72	53.3	17.76	56.18	18.43
67	B6	255	160	224	0.66804	0.62028	0.4494	82.93	16.01	7.24	17.58	24.33
68	B7	94	79	79	0.13918	0.13785	0.10278	43.92	3.99	3.43	5.27	40.69
69	B8	255	191	255	0.72711	0.69501	0.63431	86.75	12.21	-6.05	13.63	333.64
70	B9	255	63	127	0.50959	0.38469	0.2159	68.36	40.61	17.54	44.24	23.36
71	B10	0	0	244	0.10417	0.09117	0.23041	36.21	13.1	-40.7	42.76	287.84
72	B11	206	0	0	0.193	0.13854	0.06842	44.02	33.76	16.28	37.48	25.74
73	B12	191	191	191	0.40479	0.42216	0.35262	71.02	-0.69	-0.61	0.92	221.21
74	B13	63	79	79	0.10807	0.11212	0.09487	39.94	-0.03	-0.81	0.81	267.68
75	B14	255	94	160	0.56764	0.46692	0.27553	73.99	31.15	16.41	35.21	27.78
76	B15	0	255	234	0.17227	0.25354	0.35994	57.42	-34.85	-25.09	42.95	215.75
77	B16	224	239	239	0.62958	0.67034	0.60967	85.52	-3.82	-5.77	6.92	236.49
78	B1	255	0	206	0.40088	0.24138	0.17223	56.23	61.86	5.89	62.14	5.44
79	B2	255	244	0	0.63928	0.64663	0.09351	84.31	3.62	76.17	76.25	87.28
80	B3	175	175	191	0.36224	0.37609	0.33075	67.73	-0.13	-3.1	3.1	267.6
81	B4	255	206	0	0.58828	0.54172	0.0869	78.56	16.48	68.59	70.54	76.49
82	B5	160	0	224	0.22118	0.15073	0.20244	45.73	39.98	-18.76	44.16	334.86
83	B6	175	175	160	0.34677	0.36111	0.28762	66.6	-0.49	1.67	1.74	106.22
84	B7	61	61	45	0.10391	0.10314	0.07323	38.4	3.45	4.59	5.74	53.07
85	B8	0	0	255	0.11369	0.0993	0.25244	37.72	13.64	-42.15	44.3	287.94
86	B9	255	255	48	0.67264	0.71881	0.16544	87.91	-4.45	62.1	62.26	94.1
87	B10	0	0	94	0.06053	0.0596	0.0718	29.31	3.41	-10.5	11.04	287.98
88	B11	206	255	0	0.38259	0.4945	0.094	75.73	-27.98	61.2	67.3	114.56
89	B12	127	255	30	0.33034	0.45357	0.15132	73.13	-34.3	40.04	52.73	130.59
90	B13	255	255	20	0.66333	0.70266	0.11656	87.13	-3.12	73.65	73.71	92.43
91	B14	0	0	160	0.07258	0.07012	0.11002	31.83	4.93	-19.7	20.31	284.05
92	C1	255	234	0	0.62348	0.61148	0.08958	82.46	7.98	74.35	74.78	83.88
93	C2	0	0	191	0.07706	0.07321	0.13065	32.53	6.2	-24.53	25.3	284.18
94	C3	234	255	0	0.53294	0.628	0.09516	83.34	-17.84	73.92	76.05	103.57
95	C4	0	0	224	0.09281	0.08484	0.18585	34.97	9.44	-33.8	35.1	285.6
96	C5	255	255	10	0.66281	0.69486	0.10147	86.74	-1.59	77.69	77.71	91.17
97	C6	0	30	63	0.0566	0.06079	0.06711	29.61	-2.28	-8.01	8.33	254.1
98	C7	244	255	0	0.63158	0.70466	0.09451	87.23	-10.71	80.85	81.55	97.54
99	C8	0	30	94	0.06048	0.06446	0.08388	30.51	-1.81	-13.15	13.27	262.14
100	C9	239	239	224	0.67914	0.71167	0.54332	87.57	-1.54	4.57	4.82	108.6
101	C10	0	30	127	0.06601	0.06954	0.10116	31.7	-1.06	-17.11	17.14	266.44
102	C11	221	221	206	0.54843	0.57535	0.4326	80.48	-1.59	5.08	5.32	107.38
103	C12	0	30	160	0.07255	0.0755	0.12574	33.03	-0.25	-22.29	22.29	269.36
104	C13	206	206	191	0.46041	0.48232	0.3755	74.97	-1.31	3.02	3.29	113.54
105	C14	0	30	191	0.0768	0.07846	0.14426	33.66	1.07	-26.21	26.23	272.34
106	C15	191	191	175	0.39191	0.41002	0.32315	70.18	-1.08	2.26	2.5	115.58
107	C16	0	30	224	0.0946	0.09225	0.20988	36.41	4.69	-36.35	36.65	277.35
108	C1	109	109	94	0.18235	0.18839	0.14171	50.5	0.37	3.48	3.5	83.95
109	C2	158	158	142	0.29094	0.30297	0.23851	61.91	-0.46	2.09	2.14	102.33
110	C3	0	30	255	0.10866	0.09799	0.26324	37.48	11	-44.45	45.79	283.9
111	C4	0	63	0	0.06201	0.07048	0.04806	31.92	-6.21	5.09	8.03	140.67
112	C5	255	48	255	0.53815	0.38873	0.37564	68.66	46.76	-7.89	47.42	350.43
113	C6	0	63	30	0.05326	0.06203	0.05121	29.92	-7.5	-0.01	7.5	180.08
114	C7	255	20	255	0.47278	0.3109	0.29019	62.58	55.55	-5.68	55.84	354.16
115	C8	0	63	94	0.06958	0.08273	0.10851	34.55	-9.7	-14.56	17.49	236.31
116	C9	255	0	234	0.41823	0.25362	0.22187	57.43	61.99	-2.49	62.04	357.7
117	C10	0	63	127	0.07438	0.0874	0.12963	35.48	-9.05	-19.16	21.19	244.73
118	C11	206	0	255	0.28504	0.19431	0.24926	51.19	43.48	-18.35	47.19	337.12
119	C12	0	63	160	0.08349	0.09563	0.15951	37.05	-7.45	-24.18	25.3	252.88
120	C13	234	0	255	0.37134	0.24024	0.25758	56.11	52.95	-11.34	54.15	347.91
121	C14	0	63	191	0.09182	0.10342	0.18768	38.45	-6.37	-28.2	28.91	257.27
122	C15	255	0	244	0.42795	0.26292	0.23696	58.31	61.08	-3.82	61.2	356.42
123	C16	0	63	224	0.11011	0.11667	0.26545	40.68	-1.73	-39.31	39.35	267.48
124	C1	45	45	30	0.07927	0.07956	0.05991	33.89	2.36	2.58	3.5	47.54
125	C2	0	63	255	0.12186	0.11976	0.32092	41.18	4.46	-47.4	47.61	275.38
126	C3	94	94	79	0.15959	0.16219	0.11886	47.26	1.85	4.23	4.62	66.35
127	C4	0	224	191	0.11885	0.1752	0.28594	48.91	-30.94	-28.56	42.11	222.71
128	C5	79	79	63	0.12896	0.12901	0.09043	42.61	3.05	5.35	6.16	60.28
129	C6	0	94	255	0.13523	0.14461	0.38193	44.89	-2.66	-49.73	49.8	266.93
130	C7	255	10	255	0.45461	0.29058	0.26991	60.83	57.98	-5.33	58.22	354.75
131	C8	0	94	0	0.07818	0.09506	0.05956	36.94	-11.78	8.01	14.24	145.81
132	C9	244	0	255	0.42297	0.26772	0.25775	58.76	57.66	-6.8	58.06	353.28
133	C10	0	94	30	0.06491	0.08176	0.0628	34.35	-13.61	2.05	13.76	171.44
134	C11	239	224	239	0.66548	0.67861	0.59532	85.94	2.48	-3.62	4.39	304.43
135	C12	0	94	63	0.06666	0.08436	0.08739	34.88	-14.08	-6.91	15.68	206.13
136	C13	221	206	221	0.53961	0.54899	0.47345	78.98	2.63	-2.42	3.58	317.33
137	C14	0	94	127	0.08513	0.10839	0.1555	39.31	-15.76	-19.3	24.92	230.77
138	D1	206	191	206	0.44227	0.45396	0.38658	73.15	1.33	-1.62	2.09	309.35
139	D2	0	94	160	0.09368	0.11579	0.19192	40.54	-13.85	-25.51	29.03	241.5
140	D3	191	175	191	0.3817	0.39202	0.33062	68.9	1.19	-1.07	1.6	318.21
141	D4	0	94	191	0.10272	0.12419	0.23199	41.88	-12.44	-31.23	33.62	248.29
142	D5	206	221	221	0.52427	0.55634	0.50613	79.41	-3.13	-5.44	6.27	240.05
143	D6	0	94	224	0.12347	0.14048	0.32499	44.3	-7.9	-42.63	43.36	259.49
144	D7	109	94	109	0.17065	0.17097	0.13639	48.38	3.22	1.24	3.45	21.15
145	D8	0	127	0	0.08148	0.10566	0.06172	38.84	-16.97	10.29	19.84	148.77
146	D9	255	0	191	0.39721	0.24049	0.16249	56.14	61.1	8.02	61.62	7.48
147	D10	0	127	30	0.07017	0.09392	0.06897	36.73	-18.53	3.47	18.85	169.41
148	D11	0	160	30	0.0748	0.10499	0.07198	38.72	-22.64	5.66	23.33	165.97
149	D12	0	160	0	0.09045	0.12077	0.06742	41.34	-19.96	12.08	23.33	148.83
150	D13	0	255	206	0.1627	0.24503	0.32052	56.59	-36.58	-20.77	42.07	209.59
151	D14	0	127	63	0.06868	0.09175	0.08836	36.32	-18.26	-4.77	18.87	194.63
152	D15	0	206	255	0.19233	0.24321	0.54721	56.41	-19.96	-49.56	53.43	248.06
153	D16	158	142	158	0.27891	0.28355	0.23613	60.21	2.19	-0.4	2.23	349.66
154	D1	48	255	255	0.30391	0.39939	0.55149	69.43	-27.94	-27.57	39.26	224.62
155	D2	0	127	94	0.0794	0.10523	0.12706	38.76	-18.52	-12.77	22.5	214.59
156	D3	0	234	255	0.20683	0.27446	0.52123	59.38	-25.63	-41.63	48.88	238.38
157	D4	0	160	63	0.07307	0.10241	0.09409	38.27	-22.34	-3.41	22.6	188.68
