CGATS.17

ORIGINATOR	i1Profiler - X-Rite, Inc.
INSTRUMENTATION	i1Pro ; Serial number 850763
DESCRIPTOR	차트 917 패치v
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	DEVCALSTD
DEVCALSTD	XRGA
CREATED2025-11-24 22:18:11

NUMBER_OF_FIELDS	49
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	LAB_C	LAB_H
END_DATA_FORMAT

NUMBER_OF_SETS	917
BEGIN_DATA
244	F15	0	244	0	0.12751	0.21053	0.09818	53.01	-42.71	20.61	47.42	154.24
245	F16	30	30	127	0.07111	0.06985	0.08906	31.77	3.76	-12.86	13.4	286.32
246	F1	10	255	0	0.15559	0.25944	0.10692	57.98	-46.68	26.35	53.61	150.55
247	F2	30	30	160	0.08075	0.07837	0.11301	33.64	4.79	-17.5	18.15	285.3
248	F3	175	191	175	0.37797	0.39919	0.32437	69.41	-2.22	0.76	2.35	161.24
249	F4	30	30	191	0.09	0.08598	0.13428	35.2	6.12	-20.91	21.79	286.32
250	F5	160	175	160	0.3286	0.34519	0.28249	65.37	-1.5	0.39	1.55	165.44
251	F6	30	30	224	0.10896	0.10074	0.19188	37.98	9.08	-29.92	31.27	286.88
252	F7	79	79	94	0.13452	0.13351	0.10999	43.29	3.78	0.06	3.78	0.84
253	F8	30	191	224	0.18228	0.23151	0.40147	55.23	-20.05	-34.49	39.9	239.83
254	F9	63	79	63	0.11658	0.11856	0.08737	40.99	1.61	3.64	3.98	66.16
255	F10	30	30	255	0.12809	0.11287	0.26883	40.06	13.49	-40.96	43.12	288.23
256	F11	142	158	142	0.28454	0.29607	0.23539	61.31	-0.36	1.64	1.68	102.44
257	F12	30	63	0	0.07978	0.08697	0.05052	35.39	-3.64	9.78	10.44	110.43
258	F13	255	0	48	0.38761	0.23848	0.11831	55.94	58.95	19.35	62.04	18.17
259	F14	30	63	63	0.06965	0.07665	0.07319	33.27	-4.16	-4.24	5.94	225.52
260	F15	255	48	0	0.39878	0.26228	0.07167	58.25	52.47	39.45	65.65	36.94
261	F16	30	63	94	0.07382	0.08223	0.09315	34.44	-5.12	-9.69	10.96	242.13
262	F1	255	0	20	0.3897	0.24161	0.09751	56.25	58.26	26.43	63.97	24.4
263	F2	30	63	127	0.08331	0.09141	0.11613	36.25	-4.19	-13.94	14.55	253.28
264	F3	255	20	0	0.3992	0.25636	0.07695	57.69	55.03	36.36	65.95	33.45
265	F4	30	63	160	0.09376	0.10136	0.14313	38.08	-3.21	-18.29	18.57	260.06
266	F5	232	0	0	0.27761	0.18536	0.07957	50.14	45.07	22.32	50.3	26.35
267	F6	30	63	191	0.10062	0.10672	0.16514	39.02	-1.77	-22.12	22.19	265.43
268	F7	255	0	10	0.3892	0.24328	0.0908	56.42	57.38	29.02	64.3	26.82
269	F8	30	63	224	0.11986	0.12206	0.23611	41.54	1.51	-32.58	32.61	272.66
270	F9	255	255	63	0.68639	0.73495	0.20269	88.68	-4.77	55.24	55.44	94.94
271	F10	30	224	255	0.26978	0.34091	0.61013	65.03	-22.26	-41.13	46.77	241.58
272	F11	79	94	79	0.14667	0.15102	0.1133	45.77	0.64	3.33	3.39	79.11
273	F12	30	255	191	0.22052	0.32269	0.34575	63.56	-37.18	-12.48	39.22	198.55
274	F13	45	61	45	0.08574	0.08936	0.06888	35.86	-0.37	2.01	2.04	100.34
275	F14	30	63	255	0.13508	0.12865	0.31605	42.56	7.27	-44.28	44.87	279.33
276	G1	30	45	30	0.06975	0.07256	0.05706	32.38	-0.22	1.33	1.35	99.25
277	G2	30	94	224	0.13048	0.14474	0.28549	44.91	-5.82	-35.39	35.87	260.65
278	G3	255	10	0	0.39237	0.2474	0.07547	56.82	56.63	35.45	66.81	32.04
279	G4	30	94	0	0.09582	0.11185	0.05758	39.89	-9.31	14.03	16.84	123.58
280	G5	244	0	0	0.33864	0.21754	0.08073	53.77	52.06	28.13	59.17	28.38
281	G6	30	94	30	0.08581	0.09966	0.06658	37.78	-8.59	6.31	10.65	143.71
282	G7	239	224	224	0.66602	0.6822	0.54518	86.12	1.83	1.87	2.62	45.71
283	G8	30	94	94	0.08103	0.096	0.1069	37.12	-9.94	-9.62	13.83	224.05
284	G9	221	206	206	0.53005	0.54214	0.42809	78.59	1.89	2.38	3.04	51.52
285	G10	30	94	127	0.09022	0.10762	0.1368	39.18	-10.84	-14.73	18.29	233.66
286	G11	224	224	224	0.59267	0.61851	0.52317	82.83	-0.89	-1.41	1.66	237.86
287	G12	30	94	160	0.0997	0.11749	0.16563	40.81	-10.21	-19.14	21.7	241.91
288	G13	158	142	142	0.269	0.27637	0.22121	59.56	1.02	1.32	1.67	52.12
289	G14	30	94	255	0.1448	0.14838	0.3769	45.41	1.06	-48.14	48.15	271.26
290	G15	79	63	63	0.11173	0.10773	0.07954	39.2	5.85	3.47	6.8	30.65
291	G16	30	127	255	0.15811	0.16994	0.41937	48.25	-3.28	-48.82	48.93	266.16
292	G1	61	45	45	0.0917	0.08733	0.06469	35.46	6.4	3.14	7.13	26.11
293	G2	30	160	160	0.1101	0.13947	0.18329	44.16	-16.72	-17.4	24.14	226.14
294	G3	45	30	30	0.07304	0.07007	0.05354	31.82	5.42	2.09	5.81	21.08
295	G4	30	127	224	0.14691	0.17083	0.33041	48.36	-10.38	-36.44	37.89	254.1
296	G5	0	0	48	0.0523	0.05136	0.04974	27.12	3.42	-4.08	5.32	309.95
297	G6	30	127	160	0.10888	0.13457	0.18654	43.44	-14.55	-19.34	24.21	233.04
298	G7	48	0	0	0.06007	0.05531	0.04029	28.2	7.7	3.1	8.3	21.95
299	G8	30	94	191	0.10853	0.12564	0.19445	42.1	-9.01	-23.36	25.04	248.92
300	G9	0	48	0	0.05432	0.05956	0.04145	29.3	-3.59	4.31	5.61	129.77
301	G10	30	127	191	0.12006	0.14675	0.23	45.19	-14.06	-25.15	28.81	240.79
302	G11	255	255	224	0.74977	0.79661	0.51019	91.53	-3.72	15.02	15.47	103.91
303	G12	30	127	0	0.10585	0.12853	0.0583	42.54	-12.93	18.25	22.37	125.3
304	G13	206	191	191	0.42872	0.44138	0.35391	72.32	0.93	1.45	1.72	57.32
305	G14	30	127	30	0.10024	0.12052	0.07147	41.3	-11.87	10.3	15.72	139.06
306	G15	109	94	94	0.16341	0.16501	0.12565	47.63	2.45	2.9	3.8	49.84
307	G16	30	255	255	0.24402	0.33246	0.4848	64.36	-30.11	-28.95	41.77	223.88
308	G1	94	94	94	0.16175	0.16522	0.13166	47.65	1.4	1.27	1.89	42.26
309	G2	63	224	224	0.28358	0.34816	0.40115	65.61	-19.24	-16.56	25.38	220.72
310	G3	79	79	79	0.13497	0.13488	0.10677	43.49	3.19	1.41	3.49	23.86
311	G4	30	191	191	0.14076	0.18259	0.25583	49.81	-20.39	-21.9	29.92	227.04
312	G5	63	63	63	0.10153	0.10044	0.0812	37.92	3.69	0.64	3.74	9.78
313	G6	30	160	255	0.19046	0.21859	0.49581	53.88	-10.01	-48.29	49.31	258.29
314	G7	45	45	45	0.08522	0.08488	0.07118	34.98	2.98	-0.48	3.02	350.94
315	G8	30	160	191	0.13832	0.17601	0.26575	49.01	-18.47	-25	31.08	233.55
316	G9	255	255	191	0.73528	0.79126	0.40087	91.29	-5.66	27.76	28.34	101.52
317	G10	30	127	63	0.08097	0.10239	0.08335	38.27	-14.96	0.43	14.97	178.37
318	G11	191	175	175	0.37968	0.39105	0.31478	68.83	0.84	1.21	1.47	55.05
319	G12	30	160	0	0.128	0.15859	0.06416	46.79	-15.57	22.89	27.69	124.23
320	G13	175	160	160	0.32883	0.33665	0.27004	64.7	1.5	1.31	1.99	41.02
321	G14	30	160	30	0.1254	0.15196	0.0835	45.9	-13.5	13.53	19.11	134.93
322	H1	206	206	206	0.47908	0.49998	0.41958	76.07	-0.83	-0.89	1.22	227.17
323	H2	30	160	63	0.08574	0.11354	0.08447	40.17	-18.94	3.29	19.22	170.15
324	H3	94	109	94	0.17872	0.18424	0.14172	50.01	0.57	2.63	2.7	77.74
325	H4	30	127	127	0.09719	0.11916	0.14555	41.08	-13.35	-13.74	19.16	225.84
326	H5	255	255	160	0.72492	0.78268	0.35364	90.9	-6.14	33.53	34.08	100.37
327	H6	30	160	94	0.09595	0.12407	0.123	41.86	-17.68	-6.29	18.77	199.58
328	H7	255	255	127	0.71432	0.76883	0.30994	90.27	-5.63	38.92	39.33	98.23
329	H8	30	160	224	0.16267	0.19754	0.37255	51.56	-14.92	-36.95	39.85	248.01
330	H9	255	255	94	0.7016	0.7537	0.26566	89.57	-5.31	44.94	45.25	96.73
331	H10	30	191	0	0.13982	0.18098	0.06783	49.61	-20.13	26.17	33.02	127.57
332	H11	175	175	175	0.3502	0.36443	0.30402	66.86	-0.4	-0.52	0.66	232.09
333	H12	30	191	30	0.1475	0.18436	0.09541	50.02	-17.16	16.39	23.73	136.31
334	H13	160	160	160	0.3027	0.31364	0.26501	62.81	0.11	-1.08	1.08	275.68
335	H14	30	224	30	0.18537	0.25428	0.12362	57.49	-28.19	20.49	34.85	143.99
336	H15	255	255	30	0.65118	0.69147	0.13148	86.58	-3.46	68.43	68.52	92.9
337	H16	30	191	63	0.09736	0.13293	0.09136	43.2	-22.35	6.04	23.15	164.88
338	H1	255	224	255	0.76143	0.75688	0.67654	89.71	6.49	-4.92	8.14	322.84
339	H2	30	191	94	0.09999	0.13649	0.12507	43.73	-22.53	-3.66	22.82	189.23
340	H3	255	224	224	0.73233	0.73606	0.53602	88.74	4.74	7.37	8.77	57.24
341	H4	30	191	127	0.11599	0.15516	0.179	46.33	-21.85	-12.7	25.27	210.17
342	H5	255	224	63	0.64101	0.63201	0.18599	83.55	7.29	49.92	50.45	81.69
343	H6	30	191	255	0.21792	0.262	0.54958	58.23	-15.38	-46.68	49.15	251.77
344	H7	255	224	191	0.69201	0.69373	0.38543	86.69	5.04	21.87	22.45	77.03
345	H8	30	224	63	0.13008	0.19114	0.12249	50.82	-31.58	9.31	32.92	163.57
346	H9	255	224	160	0.68435	0.68815	0.34253	86.41	4.57	27.38	27.76	80.52
347	H10	30	224	94	0.11303	0.17087	0.14216	48.37	-32.74	-0.3	32.75	180.53
348	H11	255	224	127	0.66754	0.66912	0.29764	85.46	5	32.56	32.95	81.28
349	H12	30	224	127	0.13694	0.20101	0.21193	51.95	-32.02	-9.97	33.54	197.29
350	H13	255	224	94	0.65164	0.65071	0.2475	84.52	5.5	39.44	39.82	82.05
351	H14	30	224	160	0.1554	0.21999	0.26365	54.03	-29.74	-15.99	33.77	208.27
352	H15	255	224	30	0.59774	0.58151	0.12291	80.82	8.99	60.92	61.58	81.6
353	H16	30	255	0	0.1768	0.28518	0.10493	60.35	-45.06	31.07	54.73	145.41
354	H1	255	224	0	0.61302	0.58663	0.08867	81.11	11.37	72.34	73.23	81.06
355	H2	30	255	30	0.21424	0.33346	0.16465	64.44	-43.88	21.82	49.01	153.56
356	H3	255	191	224	0.70241	0.67613	0.50074	85.81	11.05	6.22	12.67	29.37
357	H4	30	255	63	0.16559	0.26989	0.15545	58.96	-45.2	14.6	47.49	162.1
358	H5	255	191	191	0.674	0.65013	0.38905	84.49	10.59	17.6	20.54	58.95
359	H6	30	255	94	0.12618	0.21375	0.15118	53.36	-45.1	5.99	45.5	172.43
360	H7	255	191	63	0.60646	0.56089	0.17907	79.66	16.05	44.75	47.54	70.27
361	H8	30	255	127	0.17335	0.27255	0.22963	59.21	-41.98	-0.9	41.99	181.23
362	H9	255	191	160	0.64872	0.61418	0.32258	82.6	13.11	23.77	27.14	61.12
363	H10	30	255	160	0.20277	0.30633	0.2912	62.2	-39.72	-6.51	40.25	189.31
364	H11	249	249	249	0.74758	0.77486	0.66956	90.54	0.09	-2.84	2.84	271.84
365	H12	63	0	0	0.07751	0.06813	0.0471	31.38	11.58	4.68	12.49	22
366	H13	255	191	94	0.61709	0.577	0.23515	80.57	14.63	34.89	37.84	67.26
367	H14	63	0	30	0.07448	0.06374	0.04921	30.34	13.21	1.75	13.33	7.55
368	I1	255	191	30	0.58993	0.53673	0.12058	78.27	18.13	57.19	60	72.41
369	I2	63	0	63	0.07386	0.06263	0.05396	30.07	13.79	-1.15	13.84	355.24
370	I3	255	191	0	0.57437	0.51378	0.08183	76.91	20.24	67.61	70.58	73.33
371	I4	63	0	94	0.08651	0.07067	0.07068	31.96	17.12	-5.47	17.97	342.27
372	I5	255	160	255	0.71625	0.66448	0.61924	85.22	16.51	-7.22	18.02	336.39
373	I6	63	0	127	0.09669	0.07759	0.08835	33.48	19.04	-9.67	21.35	333.08
374	I7	255	160	191	0.6546	0.60706	0.37718	82.22	16.08	15.29	22.19	43.55
375	I8	63	0	160	0.10405	0.08251	0.10662	34.5	20.37	-14.04	24.74	325.43
376	I9	255	160	160	0.64221	0.59339	0.33198	81.48	16.49	20.42	26.25	51.08
377	I10	63	0	191	0.11045	0.08682	0.12548	35.37	21.43	-18.19	28.11	319.67
378	I11	255	160	63	0.56674	0.49068	0.16129	75.49	24.46	41.68	48.33	59.59
379	I12	63	0	224	0.12653	0.09695	0.17896	37.29	24.39	-28.28	37.35	310.77
380	I13	255	160	127	0.59788	0.52939	0.2562	77.84	21.89	26.37	34.27	50.3
381	I14	255	244	244	0.75955	0.77948	0.63759	90.76	1.62	0.54	1.7	18.49
382	I15	255	160	94	0.57313	0.50424	0.21428	76.33	22.43	31.59	38.74	54.62
383	I16	63	30	30	0.08352	0.0766	0.05484	33.27	8.88	3.93	9.71	23.86
384	I1	255	160	30	0.55267	0.46984	0.11058	74.18	26.63	53.14	59.44	63.38
385	I2	63	30	63	0.08316	0.07494	0.06213	32.91	10.11	-0.13	10.11	359.26
386	I3	255	160	0	0.54137	0.45477	0.07863	73.2	27.98	62.45	68.43	65.86
387	I4	63	30	94	0.09057	0.08017	0.07783	34.02	11.69	-4.8	12.63	337.69
388	I5	255	127	255	0.68768	0.61397	0.57933	82.59	21.76	-7.77	23.1	340.36
389	I6	63	30	127	0.09821	0.08643	0.09382	35.29	12.44	-8.46	15.05	325.78
390	I7	255	127	224	0.64207	0.57186	0.40531	80.28	21.6	8.21	23.11	20.8
391	I8	63	30	160	0.10782	0.09422	0.11564	36.79	13.36	-12.87	18.55	316.06
392	I9	255	127	160	0.61479	0.54175	0.31459	78.56	22.75	18.02	29.02	38.39
393	I10	63	30	191	0.11343	0.0987	0.13447	37.61	13.92	-16.81	21.83	309.63
394	I11	255	127	127	0.59665	0.522	0.27613	77.4	23.49	22.18	32.31	43.37
395	I12	63	30	224	0.13531	0.11488	0.19547	40.39	16.76	-26.52	31.37	302.29
396	I13	255	127	94	0.54276	0.44478	0.19488	72.55	31.17	29.04	42.61	42.98
397	I14	63	30	255	0.15625	0.13073	0.26858	42.87	18.83	-36.07	40.69	297.57
398	I15	247	247	232	0.70582	0.73902	0.5569	88.88	-1.43	5.39	5.58	104.88
399	I16	63	63	30	0.09843	0.09928	0.06183	37.71	2.16	8.29	8.57	75.43
400	I1	255	127	30	0.51941	0.41651	0.10155	70.63	33.43	49.88	60.05	56.17
401	I2	63	63	63	0.10306	0.10204	0.08222	38.21	3.64	0.74	3.71	11.48
402	I3	255	127	0	0.51283	0.41051	0.07689	70.21	33.5	57.97	66.96	59.97
403	I4	63	63	94	0.10932	0.10738	0.10138	39.14	4.34	-4.36	6.15	314.84
404	I5	255	94	255	0.653	0.55303	0.53392	79.22	28.67	-8.82	30	342.91
405	I6	63	63	127	0.11114	0.10977	0.11327	39.54	3.93	-7.41	8.38	297.94
406	I7	255	94	224	0.6025	0.50459	0.36088	76.35	29.4	7.42	30.32	14.16
407	I8	63	63	160	0.12168	0.11909	0.13766	41.07	4.8	-11.7	12.64	292.3
408	I9	255	94	191	0.58247	0.48423	0.30478	75.09	30.04	13.56	32.95	24.3
409	I10	63	63	191	0.12666	0.12311	0.15855	41.71	5.43	-15.91	16.81	288.85
410	I11	255	94	127	0.56043	0.46044	0.25741	73.57	31.17	18.8	36.4	31.09
411	I12	63	63	224	0.15484	0.14654	0.23314	45.16	8.17	-25.79	27.05	287.57
412	I13	255	94	94	0.54605	0.4459	0.21895	72.62	31.68	24.28	39.92	37.46
413	I14	63	63	255	0.17513	0.15835	0.33137	46.76	12.66	-39.35	41.34	287.83
414	J1	224	224	239	0.61566	0.63862	0.61028	83.89	-0.02	-8.63	8.63	269.84
415	J2	255	244	255	0.781	0.7952	0.70267	91.47	2.85	-4.27	5.14	303.72
416	J3	255	94	30	0.46086	0.3324	0.0839	64.35	44.57	45.2	63.48	45.4
417	J4	63	94	63	0.12127	0.12886	0.09262	42.59	-2.04	4.54	4.98	114.15
418	J5	255	94	0	0.45092	0.32357	0.06598	63.64	44.84	51.14	68.02	48.76
419	J6	63	94	94	0.12089	0.12941	0.11629	42.67	-2.66	-2.92	3.94	227.66
420	J7	255	63	255	0.57782	0.43995	0.42758	72.23	41.26	-8.52	42.13	348.33
421	J8	63	94	127	0.12787	0.13707	0.13842	43.81	-2.82	-7.18	7.72	248.53
422	J9	255	63	224	0.54567	0.41923	0.31118	70.82	39.36	5.19	39.7	7.52
423	J10	63	94	160	0.13316	0.14132	0.15924	44.42	-1.99	-11.4	11.57	260.08
424	J11	255	63	191	0.52213	0.39852	0.25149	69.36	39.59	12.59	41.55	17.64
425	J12	63	94	191	0.14388	0.15078	0.18601	45.74	-0.92	-15.27	15.3	266.55
426	J13	255	63	160	0.51368	0.39001	0.23284	68.75	40.02	14.95	42.72	20.48
427	J14	63	94	224	0.17447	0.17839	0.27831	49.3	1.34	-26.63	26.66	272.88
428	J15	255	63	94	0.49814	0.37736	0.19366	67.83	39.89	21.16	45.15	27.95
429	J16	63	94	255	0.20228	0.19346	0.39617	51.09	7.91	-40.93	41.69	280.94
430	J1	255	63	63	0.49317	0.36661	0.16639	67.02	42.01	25.86	49.33	31.62
431	J2	63	127	0	0.13263	0.1531	0.06041	46.06	-9.38	23.33	25.15	111.91
432	J3	255	63	30	0.42071	0.28098	0.08129	59.98	51.75	38.62	64.57	36.74
433	J4	63	127	30	0.14122	0.15771	0.07805	46.67	-6.58	16.93	18.17	111.24
434	J5	255	63	0	0.41504	0.2756	0.07017	59.49	52.14	42.21	67.08	38.99
435	J6	63	127	94	0.1297	0.14542	0.12023	45	-6.75	-0.07	6.75	180.56
436	J7	255	30	255	0.49571	0.33522	0.31755	64.58	53.21	-6.54	53.61	353
437	J8	63	127	127	0.14294	0.15776	0.14911	46.68	-5.54	-5	7.47	222.06
438	J9	255	30	224	0.46821	0.31436	0.24274	62.87	53.03	2.98	53.11	3.21
439	J10	63	127	160	0.1556	0.17226	0.18715	48.54	-5.99	-10.68	12.25	240.73
440	J11	255	30	191	0.44812	0.29818	0.19753	61.5	53.26	9.43	54.09	10.05
441	J12	63	127	191	0.16966	0.18543	0.22321	50.15	-4.94	-15.3	16.07	252.09
442	J13	255	30	160	0.44156	0.29405	0.18068	61.14	52.91	12.45	54.35	13.24
443	J14	63	127	224	0.20404	0.21708	0.32794	53.72	-2.54	-26.84	26.96	264.59
444	J15	255	30	127	0.43448	0.28951	0.16829	60.74	52.56	14.59	54.54	15.51
445	J16	63	127	255	0.23334	0.23399	0.44955	55.48	3.48	-40.1	40.25	274.95
446	J1	255	30	63	0.4372	0.29121	0.14472	60.89	52.71	20.62	56.6	21.36
447	J2	63	160	0	0.15178	0.18049	0.06407	49.56	-12.6	27.7	30.44	114.46
448	J3	244	244	255	0.71893	0.74295	0.69259	89.06	0.54	-7.51	7.53	274.1
449	J4	63	160	30	0.16982	0.1936	0.09095	51.11	-8.98	19.81	21.75	114.39
450	J5	255	30	0	0.40303	0.26152	0.0753	58.18	54.1	37.86	66.03	34.98
451	J6	63	160	63	0.17788	0.19859	0.1245	51.68	-7.08	10.21	12.43	124.73
452	J7	255	0	255	0.4436	0.27676	0.25501	59.59	60.15	-4.88	60.35	355.36
453	J8	63	160	127	0.16162	0.18512	0.16786	50.11	-9.28	-3.64	9.97	201.41
454	J9	255	0	224	0.41096	0.24771	0.20402	56.85	62.26	0.08	62.26	0.08
455	J10	63	160	160	0.17336	0.19624	0.19681	51.41	-8.36	-7.81	11.44	223.04
456	J11	175	160	175	0.33542	0.34191	0.28749	65.11	2.02	-0.88	2.2	336.55
457	J12	63	160	191	0.2084	0.23494	0.26589	55.58	-8.46	-13.7	16.1	238.3
458	J13	255	0	160	0.39278	0.23877	0.15204	55.96	60.45	10.27	61.32	9.64
459	J14	63	160	224	0.23868	0.26307	0.37617	58.33	-6.43	-25.77	26.56	255.99
460	K1	255	0	127	0.39663	0.24045	0.14108	56.13	60.94	13.37	62.39	12.37
461	K2	63	160	255	0.2757	0.29428	0.53593	61.16	-3.18	-40.17	40.29	265.48
462	K3	255	0	94	0.39429	0.23914	0.13234	56	60.77	15.48	62.71	14.29
463	K4	63	191	0	0.16867	0.21038	0.06865	52.99	-17.74	31.64	36.27	119.28
464	K5	255	0	30	0.38866	0.23871	0.10188	55.96	59.18	24.48	64.04	22.47
465	K6	63	191	30	0.18333	0.22071	0.09973	54.1	-14.66	21.99	26.42	123.69
466	K7	255	0	0	0.38888	0.24283	0.08027	56.37	57.48	32.8	66.18	29.71
467	K8	63	191	63	0.19589	0.23106	0.14137	55.18	-12.89	11.65	17.37	137.89
468	K9	224	255	63	0.55455	0.65853	0.21431	84.92	-19.2	46.4	50.22	112.48
469	K10	63	191	191	0.2049	0.23992	0.26236	56.08	-12.32	-12.23	17.36	224.78
470	K11	224	255	0	0.47228	0.57644	0.09327	80.54	-21.99	69.75	73.13	107.5
471	K12	63	191	160	0.18939	0.22429	0.22203	54.48	-13.14	-7.6	15.18	210.04
472	K13	224	224	30	0.41575	0.44636	0.12607	72.65	-4.38	45.93	46.14	95.45
473	K14	63	191	224	0.27083	0.3132	0.43313	62.78	-12.11	-25.51	28.23	244.61
474	K15	224	255	94	0.56956	0.66521	0.2713	85.26	-16.95	36.55	40.29	114.87
475	K16	63	191	255	0.30114	0.33887	0.56701	64.87	-9.35	-37.05	38.21	255.83
476	K1	224	255	127	0.60044	0.69376	0.33118	86.69	-15.65	29.53	33.42	117.93
477	K2	63	224	0	0.19772	0.27239	0.08088	59.19	-29.27	37.44	47.52	128.02
478	K3	224	255	255	0.66038	0.72088	0.68709	88.01	-7.59	-8.83	11.64	229.31
479	K4	63	191	94	0.1583	0.19298	0.13404	51.03	-15.16	6.45	16.47	156.95
480	K5	224	255	224	0.66912	0.73734	0.53985	88.8	-9.04	7.06	11.47	141.99
481	K6	63	224	30	0.22696	0.30036	0.12846	61.69	-26.13	26.35	37.12	134.76
482	K7	224	255	191	0.64872	0.72863	0.41505	88.38	-11.8	20.92	24.02	119.43
483	K8	63	224	63	0.25616	0.32746	0.19221	63.95	-23.21	14.8	27.52	147.48
484	K9	224	224	255	0.61777	0.63874	0.66824	83.9	0.44	-14.17	14.18	271.77
485	K10	63	224	94	0.21376	0.2815	0.18274	60.02	-25.08	10.08	27.02	158.11
486	K11	224	224	63	0.46476	0.4924	0.19479	75.6	-2.8	34.33	34.44	94.66
487	K12	63	224	191	0.26166	0.32838	0.33552	64.03	-21.24	-10.18	23.56	205.61
488	K13	224	191	63	0.41594	0.41671	0.17229	70.64	4.33	30.74	31.04	81.98
489	K14	63	224	255	0.34026	0.41238	0.63328	70.34	-18.83	-34.24	39.08	241.19
490	K15	224	224	127	0.52185	0.55132	0.29462	79.12	-2.52	22.11	22.26	96.51
491	K16	63	255	0	0.2091	0.32409	0.1024	63.68	-43.05	37.62	57.17	138.85
492	K1	224	255	160	0.6271	0.71339	0.37548	87.65	-13.56	24.88	28.33	118.6
493	K2	63	255	30	0.26515	0.39142	0.16226	68.85	-40.61	30	50.49	143.54
494	K3	224	224	224	0.60819	0.63312	0.53595	83.61	-0.53	-1.47	1.56	250.02
495	K4	63	255	63	0.32163	0.44828	0.2397	72.78	-35.9	20.61	41.4	150.14
496	K5	94	0	0	0.09967	0.08418	0.05282	34.84	15.53	7.65	17.31	26.22
497	K6	224	224	191	0.57616	0.60667	0.40874	82.2	-2.13	11.07	11.27	100.91
498	K7	224	224	160	0.55955	0.59071	0.35537	81.33	-2.48	16.78	16.96	98.4
499	K8	94	0	30	0.10101	0.08189	0.05897	34.37	18.57	3.86	18.97	11.73
500	K9	224	224	94	0.50922	0.5367	0.2641	78.27	-2.18	25.73	25.82	94.84
501	K10	63	255	224	0.32556	0.43526	0.45264	71.91	-30.76	-12.15	33.07	201.55
502	K11	224	191	94	0.45041	0.44875	0.23348	72.81	5.15	21.82	22.42	76.71
503	K12	63	255	255	0.35047	0.44755	0.5774	72.73	-25.63	-24.57	35.5	223.8
504	K13	224	191	30	0.38577	0.38897	0.11572	68.68	3.44	42.09	42.23	85.32
505	K14	63	255	160	0.28016	0.3978	0.32293	69.31	-36.56	0.8	36.57	178.74
506	L1	224	191	0	0.37442	0.37017	0.08005	67.29	5.77	51.71	52.03	83.63
507	L2	63	224	127	0.22201	0.29061	0.234	60.84	-24.73	1.08	24.76	177.5
508	L3	224	191	255	0.5849	0.5788	0.63832	80.67	6.57	-16.92	18.15	291.22
509	L4	63	255	94	0.26275	0.38712	0.23536	68.54	-40.25	14.11	42.65	160.68
510	L5	224	191	224	0.54539	0.54228	0.48772	78.59	5.77	-4.75	7.47	320.55
511	L6	94	0	63	0.09817	0.07801	0.06211	33.56	19.83	1.01	19.86	2.92
512	L7	224	191	191	0.50974	0.51011	0.37449	76.69	4.78	6.11	7.76	51.93
513	L8	94	0	94	0.1001	0.0784	0.07253	33.65	21	-3.32	21.26	351
514	L9	224	191	160	0.48518	0.48307	0.31858	75.02	5.37	11.3	12.51	64.57
515	L10	94	0	127	0.11805	0.09027	0.09554	36.04	23.98	-7.76	25.21	342.07
516	L11	224	191	127	0.46518	0.46268	0.27122	73.72	5.43	16.67	17.53	71.95
517	L12	94	0	160	0.1304	0.09769	0.1167	37.42	26.37	-12.09	29.01	335.37
518	L13	224	160	224	0.51222	0.49136	0.44445	75.54	10.4	-4.9	11.49	334.75
519	L14	94	0	191	0.14247	0.10543	0.13775	38.8	28.13	-15.64	32.18	330.93
520	L15	224	160	191	0.4645	0.4535	0.33642	73.12	7.81	5.36	9.48	34.45
521	L16	94	0	255	0.18071	0.13667	0.23511	43.75	28.59	-28.58	40.43	315
522	L1	94	30	0	0.1042	0.09305	0.05093	36.56	11.59	11.59	16.39	45
523	L2	224	160	63	0.38892	0.37187	0.15925	67.42	9.87	28.25	29.92	70.73
524	L3	224	160	160	0.46494	0.45102	0.31254	72.96	8.64	8.68	12.24	45.12
525	L4	94	30	30	0.10773	0.09555	0.06198	37.03	12.23	7.05	14.12	29.96
526	L5	224	160	127	0.42294	0.40443	0.24576	69.78	10.14	14.34	17.57	54.73
527	L6	94	30	63	0.10621	0.09134	0.06954	36.24	14.5	2.39	14.7	9.35
528	L7	224	160	94	0.40756	0.39008	0.21045	68.76	9.91	19.3	21.7	62.82
529	L8	94	30	94	0.10866	0.09291	0.08006	36.54	15.05	-1.32	15.11	354.99
530	L9	224	160	30	0.37011	0.35579	0.10892	66.2	9.08	39.89	40.91	77.18
531	L10	94	30	127	0.12496	0.10442	0.10248	38.62	17.58	-5.6	18.45	342.32
532	L11	224	160	0	0.35178	0.3326	0.07284	64.37	10.85	49.52	50.7	77.64
533	L12	63	255	127	0.24172	0.36024	0.26206	66.54	-40.5	5.86	40.92	171.77
